"village","villcode","panchyat","panchcode","blockname","blockcode","distname","distcode","state","statecode","cpcode"
"Nuaguda",525,"Salimi",71,"Mathili",7,"Malkangiri",5,"Odisa",4,5
"Badakarapalli",526,"Chedenga",63,"Mathili",7,"Malkangiri",5,"Odisa",4,5
"Tumbaguda",527,"Kalimela",68,"Kalimela",8,"Malkangiri",5,"Odisa",4,5
"Kawasiguda",528,"Koimetla",69,"Kalimela",8,"Malkangiri",5,"Odisa",4,5
"Girkanpalli",529,"Girkanpalli",65,"Kalimela",8,"Malkangiri",5,"Odisa",4,5
"Betiguda",530,"Girkanpalli",65,"Kalimela",8,"Malkangiri",5,"Odisa",4,5

"Thimmareddi Palle",401,"Thimmareddi Palle",59,"Daulatabad",4,"Mehbubnagar",4,"Telengana",3,4
"Bangel Tanda",402,"Thimmareddi Palle",59,"Daulatabad",4,"Mehbubnagar",4,"Telengana",3,4
"Hanmannaik Tanda",403,"Polkampalle",56,"Daulatabad",4,"Mehbubnagar",4,"Telengana",3,4
"Allapur",404,"Gundepalle",53,"Daulatabad",4,"Mehbubnagar",4,"Telengana",3,4
"Rayalgutta Tanda",405,"Gokapasalawad",52,"Daulatabad",4,"Mehbubnagar",4,"Telengana",3,4
"Sultanpur",406,"Sultanpur",57,"Daulatabad",4,"Mehbubnagar",4,"Telengana",3,4
"Hobyanaik Tanda",407,"Devarfaslawad",51,"Daulatabad",4,"Mehbubnagar",4,"Telengana",3,4
"Narsapur",408,"Neetur",55,"Daulatabad",4,"Mehbubnagar",4,"Telengana",3,4
"Volkanaik Tanda",409,"Polkampalle",56,"Daulatabad",4,"Mehbubnagar",4,"Telengana",3,4
"Gokapasalawad",410,"Gokapasalawad",52,"Daulatabad",4,"Mehbubnagar",4,"Telengana",3,4
"Saleempur",411,"Suraipalle",58,"Daulatabad",4,"Mehbubnagar",4,"Telengana",3,4
"Anthwar",412,"Anthwar",48,"Daulatabad",4,"Mehbubnagar",4,"Telengana",3,4
"Gundepalle",413,"Gundepalle",53,"Daulatabad",4,"Mehbubnagar",4,"Telengana",3,4
"Polkampalle",414,"Polkampalle",56,"Daulatabad",4,"Mehbubnagar",4,"Telengana",3,4
"Erlapalle",415,"Challapur",49,"Daulatabad",4,"Mehbubnagar",4,"Telengana",3,4
"Kummarikunta",416,"Polkampalle",56,"Daulatabad",4,"Mehbubnagar",4,"Telengana",3,4
"Neetur",417,"Neetur",55,"Daulatabad",4,"Mehbubnagar",4,"Telengana",3,4
"Dasaryagudem",418,"Chandrakal",50,"Daulatabad",4,"Mehbubnagar",4,"Telengana",3,4
"Sangaipalle Tanda",419,"Kudrimalla",54,"Daulatabad",4,"Mehbubnagar",4,"Telengana",3,4
"Lothukunta Tanda",420,"Devarfaslawad",51,"Daulatabad",4,"Mehbubnagar",4,"Telengana",3,4

"Amulla Kalan",301,"Amulya Kala",32,"Khaknar",3,"Burhanpur",3,"Madhya Pradesh",2,3
"Balapat",302,"Balapat",33,"Khaknar",3,"Burhanpur",3,"Madhya Pradesh",2,3
"Chokhanda",303,"Balapat",33,"Khaknar",3,"Burhanpur",3,"Madhya Pradesh",2,3
"Bijori",304,"Bijori",34,"Khaknar",3,"Burhanpur",3,"Madhya Pradesh",2,3
"Dasghat",305,"Bijori",34,"Khaknar",3,"Burhanpur",3,"Madhya Pradesh",2,3
"Pandhari",306,"Chidiya Mal",35,"Khaknar",3,"Burhanpur",3,"Madhya Pradesh",2,3
"Dabali",307,"Dabali",36,"Khaknar",3,"Burhanpur",3,"Madhya Pradesh",2,3
"Dahinda",308,"Dhinda",37,"Khaknar",3,"Burhanpur",3,"Madhya Pradesh",2,3
"Ratnapur",309,"Golkhera",38,"Khaknar",3,"Burhanpur",3,"Madhya Pradesh",2,3
"Melchuka",310,"Jhirmiti",39,"Khaknar",3,"Burhanpur",3,"Madhya Pradesh",2,3
"Ramgarh",311,"Jhirmiti",39,"Khaknar",3,"Burhanpur",3,"Madhya Pradesh",2,3
"Kerpani",312,"kerpani",40,"Khaknar",3,"Burhanpur",3,"Madhya Pradesh",2,3
"Machgaon",313,"Machgaon",41,"Khaknar",3,"Burhanpur",3,"Madhya Pradesh",2,3
"Manjrod Kalan",314,"Manjrod Kalan",42,"Khaknar",3,"Burhanpur",3,"Madhya Pradesh",2,3
"Pipalpani",315,"Pipalpani",43,"Khaknar",3,"Burhanpur",3,"Madhya Pradesh",2,3
"Sagmali",316,"Pipalpani",43,"Khaknar",3,"Burhanpur",3,"Madhya Pradesh",2,3
"Pipri Borban Ryt.",317,"Pipari bovan",44,"Khaknar",3,"Burhanpur",3,"Madhya Pradesh",2,3
"Jampani",318,"Raytalai",45,"Khaknar",3,"Burhanpur",3,"Madhya Pradesh",2,3
"Sajni Ryt",319,"Sajni",46,"Khaknar",3,"Burhanpur",3,"Madhya Pradesh",2,3
"Tukaithad",320,"Tukayidhad",47,"Khaknar",3,"Burhanpur",3,"Madhya Pradesh",2,3

"Postipura",201,"Postipura",26,"Bagli",2,"Devas",2,"Madhya pradesh ",2,2
"Laxmipura",202,"Kardi",19,"Bagli",2,"Devas",2,"Madhya pradesh ",2,2
"Kardi",203,"Kardi",19,"Bagli",2,"Devas",2,"Madhya pradesh ",2,2
"Mansingpura",204,"Chandupura",16,"Bagli",2,"Devas",2,"Madhya pradesh ",2,2
"Pankua",205,"Pankua",23,"Bagli",2,"Devas",2,"Madhya pradesh ",2,2
"Ratatalai",206,"Ratatalai",29,"Bagli",2,"Devas",2,"Madhya pradesh ",2,2
"Agrabuzurg",207,"Agrakhurd",15,"Bagli",2,"Devas",2,"Madhya pradesh ",2,2
"Imlipura",208,"Imlipura",18,"Bagli",2,"Devas",2,"Madhya pradesh ",2,2
"Udaipura",209,"Udainagar",31,"Bagli",2,"Devas",2,"Madhya pradesh ",2,2
"Rampura",210,"Rampura",28,"Bagli",2,"Devas",2,"Madhya pradesh ",2,2
"Sevanpani",211,"Sevanpani",30,"Bagli",2,"Devas",2,"Madhya pradesh ",2,2
"Pipalya Lohar",212,"Pipalya Lohar",24,"Bagli",2,"Devas",2,"Madhya pradesh ",2,2
"Borkhedi",213,"Mahigaon",21,"Bagli",2,"Devas",2,"Madhya pradesh ",2,2
"Potla",214,"Potla",27,"Bagli",2,"Devas",2,"Madhya pradesh ",2,2
"Tantukhedi",215,"Pipri",25,"Bagli",2,"Devas",2,"Madhya pradesh ",2,2
"Neemanpura",216,"Neemanpura",22,"Bagli",2,"Devas",2,"Madhya pradesh ",2,2
"Jamli",217,"Gurarda",17,"Bagli",2,"Devas",2,"Madhya pradesh ",2,2
"Gurarda",218,"Gurarda",17,"Bagli",2,"Devas",2,"Madhya pradesh ",2,2
"Jojakpura",219,"Gurarda",17,"Bagli",2,"Devas",2,"Madhya pradesh ",2,2
"Magaradeh",220,"Magaradeh",20,"Bagli",2,"Devas",2,"Madhya pradesh ",2,2

"Charopadi Moti",101,"Charopadi Moti",2,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
"Mohadi",102,"Charopadi Moti",2,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
"Sukhpar( Saindh)",103,"Chhasara",3,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
"Rampar(Abda)",104,"Rampar(Abda)",10,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
"Laiyari",105,"Rampar(Abda)",10,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
"Kervandh",106,"Kervandh",7,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
"Ashapar",107,"Ashapar",1,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
"Vadsar",108,"Chhasara",3,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
"Sujapar",109,"Sujapar",13,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
"KalaTalav",110,"KalaTalav",5,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
"Mokarashi Vandh",111,"Mokarashi Vandh",9,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
"Bhadra Vandh",112,"Mokarashi Vandh",9,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
"Meman Vandh",113,"Mokarashi Vandh",9,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
"Piyoni",114,"Kandhay",6,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
"Kandhay",115,"Kandhay",6,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
"Lala",116,"Lala",8,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
"Kaduli",117,"Rapar gadh",11,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
"Sayara",118,"Sayara",12,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
"Vanku",119,"Vanku",14,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
"Kukadau",120,"Jakho",4,"Abdasa",1,"Kachchh",1,"Gujrat",1,1
